"","Day","Time","TrafficControl","Road","Light","Weather","Weight","Count"
"226","Weekend","Night","Control","Dry","Unknown","Clear",2,19
"227","Weekday","Morning","Control","Dry","Unknown","Clear",5,33
"228","Weekend","Morning","Control","Dry","Unknown","Clear",2,5
"229","Weekday","Midday","Control","Dry","Unknown","Clear",5,34
"230","Weekend","Midday","Control","Dry","Unknown","Clear",2,10
"231","Weekday","Evening","Control","Dry","Unknown","Clear",5,38
"232","Weekend","Evening","Control","Dry","Unknown","Clear",2,10
"233","Weekday","Night","Unknown","Dry","Unknown","Clear",5,11
"234","Weekend","Night","Unknown","Dry","Unknown","Clear",2,15
"235","Weekday","Morning","Unknown","Dry","Unknown","Clear",5,3
"236","Weekend","Morning","Unknown","Dry","Unknown","Clear",2,7
"237","Weekday","Midday","Unknown","Dry","Unknown","Clear",5,10
"238","Weekend","Midday","Unknown","Dry","Unknown","Clear",2,8
"239","Weekday","Evening","Unknown","Dry","Unknown","Clear",5,18
"240","Weekend","Evening","Unknown","Dry","Unknown","Clear",2,8
"241","Weekday","Night","No Control","Wet","Unknown","Clear",5,12
"242","Weekend","Night","No Control","Wet","Unknown","Clear",2,4
"243","Weekday","Morning","No Control","Wet","Unknown","Clear",5,20
"244","Weekend","Morning","No Control","Wet","Unknown","Clear",2,8
"245","Weekday","Midday","No Control","Wet","Unknown","Clear",5,14
"246","Weekend","Midday","No Control","Wet","Unknown","Clear",2,7
"247","Weekday","Evening","No Control","Wet","Unknown","Clear",5,22
"248","Weekend","Evening","No Control","Wet","Unknown","Clear",2,7
"249","Weekday","Night","Control","Wet","Unknown","Clear",5,1
"250","Weekend","Night","Control","Wet","Unknown","Clear",2,1
"251","Weekday","Morning","Control","Wet","Unknown","Clear",5,8
"252","Weekend","Morning","Control","Wet","Unknown","Clear",2,0
"253","Weekday","Midday","Control","Wet","Unknown","Clear",5,2
"254","Weekend","Midday","Control","Wet","Unknown","Clear",2,0
"255","Weekday","Evening","Control","Wet","Unknown","Clear",5,4
"256","Weekend","Evening","Control","Wet","Unknown","Clear",2,0
